accx,accy,accz
0.0658,0.998,-0.07
0.0678,0.9985,-0.0704
0.0663,0.9975,-0.0695
0.0658,0.998,-0.07
0.0665,0.9972,-0.0692
0.0678,0.9985,-0.0704
0.067,0.9968,-0.0688
0.0656,0.9983,-0.0702
0.067,0.9968,-0.0688
0.0678,0.9985,-0.0704
0.0658,0.998,-0.07
0.0665,0.9972,-0.0692
0.0658,0.998,-0.07
0.0656,0.9983,-0.0702
0.0663,0.9975,-0.0695
0.0675,0.9963,-0.0683
0.0656,0.9983,-0.0702
0.0663,0.9975,-0.0695
0.0656,0.9983,-0.0702
0.0665,0.9972,-0.0692
0.0656,0.9983,-0.0702
0.0663,0.9975,-0.0695
0.0678,0.9985,-0.0704
0.0665,0.9972,-0.0692
0.0665,0.9972,-0.0692
0.0658,0.998,-0.07
0.0658,0.998,-0.07
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0656,0.9983,-0.0702
0.0656,0.9983,-0.0702
0.0656,0.9983,-0.0702
0.0658,0.998,-0.07
0.0658,0.998,-0.07
0.0675,0.9963,-0.0683
0.0678,0.9985,-0.0704
0.0675,0.9963,-0.0683
0.0665,0.9972,-0.0692
0.067,0.9968,-0.0688
0.0665,0.9972,-0.0692
0.0661,0.9978,-0.0697
0.0675,0.9963,-0.0683
0.0656,0.9983,-0.0702
0.067,0.9968,-0.0688
0.0665,0.9972,-0.0692
0.0658,0.998,-0.07
0.067,0.9968,-0.0688
0.0661,0.9978,-0.0697
0.0675,0.9963,-0.0683
0.0665,0.9972,-0.0692
0.0668,0.997,-0.069
0.0661,0.9978,-0.0697
0.0661,0.9978,-0.0697
0.0668,0.997,-0.069
0.0663,0.9975,-0.0695
0.0678,0.9985,-0.0704
0.0673,0.9965,-0.0685
0.0661,0.9978,-0.0697
0.0661,0.9978,-0.0697
0.0673,0.9965,-0.0685
0.0661,0.9978,-0.0697
0.067,0.9968,-0.0688
0.067,0.9968,-0.0688
0.067,0.9968,-0.0688
0.0665,0.9972,-0.0692
0.0658,0.998,-0.07
0.0661,0.9978,-0.0697
0.067,0.9968,-0.0688
0.0656,0.9983,-0.0702
0.0675,0.9963,-0.0683
0.0678,0.9985,-0.0704
0.0678,0.9985,-0.0704
0.0675,0.9963,-0.0683
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0656,0.9983,-0.0702
0.0678,0.9985,-0.0704
0.0678,0.9985,-0.0704
0.0656,0.9983,-0.0702
0.0656,0.9983,-0.0702
0.0658,0.998,-0.07
0.0658,0.998,-0.07
0.0658,0.998,-0.07
0.0673,0.9965,-0.0685
0.067,0.9968,-0.0688
0.067,0.9968,-0.0688
0.0663,0.9975,-0.0695
0.0665,0.9972,-0.0692
0.0661,0.9978,-0.0697
0.0673,0.9965,-0.0685
0.067,0.9968,-0.0688
0.0673,0.9965,-0.0685
0.067,0.9968,-0.0688
0.0665,0.9972,-0.0692
0.0668,0.997,-0.069
0.0665,0.9972,-0.0692
0.0668,0.997,-0.069
0.0665,0.9972,-0.0692
0.0658,0.998,-0.07
0.0678,0.9985,-0.0704
0.0678,0.9985,-0.0704
0.0678,0.9985,-0.0704
0.0678,0.9985,-0.0704
0.0675,0.9963,-0.0683
0.0656,0.9983,-0.0702
0.0665,0.9972,-0.0692
0.0675,0.9963,-0.0683
0.0668,0.997,-0.069
0.067,0.9968,-0.0688
0.0668,0.997,-0.069
0.0668,0.997,-0.069
0.0656,0.9983,-0.0702
0.0665,0.9972,-0.0692
0.0665,0.9972,-0.0692
0.0663,0.9975,-0.0695
0.0658,0.998,-0.07
0.0665,0.9972,-0.0692
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0665,0.9972,-0.0692
0.0656,0.9983,-0.0702
0.0658,0.998,-0.07
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0668,0.997,-0.069
0.0661,0.9978,-0.0697
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0668,0.997,-0.069
0.0668,0.997,-0.069
0.0661,0.9978,-0.0697
0.0678,0.9985,-0.0704
0.0665,0.9972,-0.0692
0.0661,0.9978,-0.0697
0.0663,0.9975,-0.0695
0.0663,0.9975,-0.0695
0.0658,0.998,-0.07
0.067,0.9968,-0.0688
0.067,0.9968,-0.0688
0.0663,0.9975,-0.0695
0.0661,0.9978,-0.0697
0.0678,0.9985,-0.0704
0.0658,0.998,-0.07
0.067,0.9968,-0.0688
0.067,0.9968,-0.0688
0.0661,0.9978,-0.0697
0.0658,0.998,-0.07
0.0665,0.9972,-0.0692
0.0675,0.9963,-0.0683
0.0678,0.9985,-0.0704
0.0661,0.9978,-0.0697
0.0656,0.9983,-0.0702
0.0656,0.9983,-0.0702
0.0663,0.9975,-0.0695
0.0673,0.9965,-0.0685
