accx,accy,accz
0.0003,1.0051,0.0269
0.0003,1.0051,0.0269
-0.0005,1.0037,0.0284
0,1.0056,0.0264
0.0003,1.0051,0.0269
-0.0015,1.0046,0.0274
0.0003,1.0051,0.0269
-0.0015,1.0046,0.0274
-0.001,1.0041,0.0279
-0.0005,1.0037,0.0284
-0.0005,1.0037,0.0284
-0.0017,1.0049,0.0271
0,1.0056,0.0264
-0.0003,1.0058,0.0262
0,1.0056,0.0264
0,1.0056,0.0264
-0.0017,1.0049,0.0271
0.0003,1.0051,0.0269
0.0001,1.0053,0.0267
0.0001,1.0053,0.0267
0.0001,1.0053,0.0267
-0.0003,1.0058,0.0511
-0.0017,1.0049,0.0521
0.0001,1.0053,0.0516
-0.001,1.0041,0.0529
-0.0005,1.0037,0.0533
-0.0003,1.0058,0.0511
-0.0005,1.0037,0.0533
0,1.0056,0.0513
0,1.0056,0.0513
-0.0012,1.0044,0.0525
-0.0007,1.0039,0.0531
0.0003,1.0051,0.0518
-0.001,1.0041,0.0529
0.0003,1.0051,0.0518
-0.0017,1.0049,0.0521
0,1.0056,0.0513
-0.0015,1.0046,0.0523
-0.001,1.0041,0.0529
0.0003,1.0051,0.0518
0,1.0056,0.0513
-0.0015,1.0046,0.0523
-0.0015,1.0046,0.0523
-0.0005,1.0037,0.0533
0,1.0056,0.0513
-0.0012,1.0044,0.0525
-0.0015,1.0046,0.0523
0.0001,1.0053,0.0516
-0.0017,1.0049,0.0521
0.0001,1.0053,0.0516
-0.0017,1.0049,0.0521
-0.001,1.0041,0.0529
-0.0012,1.0044,0.0525
0.0003,1.0051,0.0518
-0.0003,1.0058,0.0511
0.0003,1.0051,0.0518
-0.001,1.0041,0.0529
0.0003,1.0051,0.0518
0.0003,1.0051,0.0518
-0.0017,1.0049,0.0521
-0.0005,1.0037,0.0533
-0.0017,1.0049,0.0521
0.0003,1.0051,0.0518
0.0003,1.0051,0.0518
0.0003,1.0051,0.0518
0.0003,1.0051,0.0518
-0.0015,1.0046,0.0523
-0.001,1.0041,0.0529
-0.0015,1.0046,0.0523
-0.0015,1.0046,0.0523
0.0001,1.0053,0.0516
-0.0015,1.0046,0.0523
0.0001,1.0053,0.0516
-0.0015,1.0046,0.0523
0.0003,1.0051,0.0518
0.0003,1.0051,0.0518
-0.001,1.0041,0.0529
-0.0005,1.0037,0.0533
0,1.0056,0.0513
0.0001,1.0053,0.0516
0.0003,1.0051,0.0518
-0.0012,1.0044,0.0525
-0.0012,1.0044,0.0525
0,1.0056,0.0513
-0.0017,1.0049,0.0521
-0.0012,1.0044,0.0525
-0.0003,1.0058,0.0511
-0.0003,1.0058,0.0511
-0.0003,1.0058,0.0511
-0.0012,1.0044,0.0525
0,1.0056,0.0513
0,1.0056,0.0513
-0.001,1.0041,0.0529
-0.0012,1.0044,0.0525
0,1.0056,0.0513
-0.0012,1.0044,0.0525
0.0003,1.0051,0.0518
0,1.0056,0.0513
-0.001,1.0041,0.0529
-0.001,1.0041,0.0529
0.0001,1.0053,0.0516
-0.0005,1.0037,0.0533
0,1.0056,0.0513
-0.001,1.0041,0.0529
-0.0017,1.0049,0.0521
-0.0017,1.0049,0.0521
-0.0017,1.0049,0.0521
-0.001,1.0041,0.0529
-0.0015,1.0046,0.0523
-0.0007,1.0039,0.0531
-0.001,1.0041,0.0529
0.0003,1.0051,0.0518
0.0001,1.0053,0.0516
-0.0003,1.0058,0.0511
-0.001,1.0041,0.0529
0.0003,1.0051,0.0518
-0.0005,1.0037,0.0533
0,1.0056,0.0513
-0.0003,1.0058,0.0511
-0.0017,1.0049,0.0521
-0.0007,1.0039,0.0531
0.0001,1.0053,0.0516
-0.001,1.0041,0.0529
0,1.0056,0.0513
-0.0015,1.0046,0.0523
-0.0017,1.0049,0.0521
0.0001,1.0053,0.0516
-0.0015,1.0046,0.0523
0,1.0056,0.0513
0.0003,1.0051,0.0518
0.0003,1.0051,0.0518
-0.0012,1.0044,0.0525
-0.0017,1.0049,0.0521
-0.0015,1.0046,0.0523
-0.0012,1.0044,0.0525
-0.0015,1.0046,0.0523
-0.0017,1.0049,0.0521
-0.0003,1.0058,0.0511
-0.0015,1.0046,0.0523
0,1.0056,0.0513
-0.0017,1.0049,0.0521
0.0003,1.0051,0.0518
-0.0012,1.0044,0.0525
0.0003,1.0051,0.0518
-0.0017,1.0049,0.0521
0.0003,1.0051,0.0518
0.0001,1.0053,0.0516
-0.001,1.0041,0.0529
0.0001,1.0053,0.0516
-0.0015,1.0046,0.0523
0,1.0056,0.0513
-0.0017,1.0049,0.0521
0,1.0056,0.0513
-0.0015,1.0046,0.0523
-0.0015,1.0046,0.0523
-0.001,1.0041,0.0529
-0.0012,1.0044,0.0525
