accx,accy,accz
-0.0736,0.8644,-0.2016
-0.0736,0.8644,-0.2016
-0.001,0.8087,-0.2021
0.1179,0.621,-0.2004
0.1179,0.5868,-0.1249
0.0663,0.7786,-0.0599
0.0255,1.0608,0.0013
-0.0081,1.1861,0.0306
-0.035,1.3005,0.0303
-0.0911,1.1129,-0.0069
-0.0934,0.9714,-0.0067
-0.0916,0.9149,-0.0075
-0.0929,0.8905,0.0206
-0.0911,0.8262,0.0222
-0.0604,0.893,0.109
-0.0289,0.9208,0.1743
0.0106,0.9467,0.1747
0.0399,0.9443,0.1771
0.0136,0.9191,0.143
0.0131,0.9196,0.1425
-0.0135,0.9457,0.1428
-0.0135,0.9802,0.1428
-0.0117,0.9816,0.142
-0.0364,1.0112,0.1102
-0.0068,1.0109,0.1105
0.0238,1.0388,0.1119
0.0221,1.1011,0.1875
-0.0068,1.129,0.2123
-0.1183,1.128,0.2815
-0.1481,1.2785,0.281
-0.0911,1.3767,0.1347
-0.0911,1.3767,0.1347
0.0064,1.0997,-0.0991
0.0331,0.7976,-0.188
0.0011,0.6503,-0.1906
-0.0823,0.418,-0.0778
-0.1967,0.4239,0.134
-0.2227,0.7391,0.1324
-0.1864,1.2162,-0.0367
-0.0245,1.6142,-0.0387
0.038,1.5087,-0.0348
-0.1234,1.1642,-0.0375
-0.1871,1.0095,-0.1086
-0.1021,0.7479,-0.0287
-0.0626,0.7121,0.2824
-0.0626,0.7757,0.2824
-0.1564,0.9734,0.1312
-0.1564,0.9734,0.1312
-0.1828,0.9729,0.1317
-0.1835,0.9736,0.131
-0.1835,0.9471,0.131
-0.1579,0.9159,0.1691
-0.1591,0.9171,0.1669
-0.1332,0.942,0.1684
-0.1327,0.9424,0.1689
-0.1324,0.942,0.1691
-0.1337,0.9975,0.1679
-0.133,0.9968,0.1687
-0.1335,1.0212,0.1931
-0.1324,1.0212,0.1941
-0.1056,1.0498,0.1941
-0.078,1.0515,0.1924
-0.079,1.05,0.1938
-0.0802,1.1085,0.1926
-0.0797,1.2455,0.2568
-0.2157,1.3503,0.2854
-0.2686,1.1363,0.328
-0.1784,1.0279,0.186
-0.1226,0.975,0.0665
0.0077,0.8665,-0.1738
0.1418,0.6745,-0.2808
0.1425,0.5881,-0.2265
0.0663,0.7024,-0.066
-0.0152,0.9743,0.0269
-0.1234,1.2675,0.0541
-0.0911,1.3181,0.0941
-0.0911,1.1605,0.0613
