accx,accy,accz
0.0348,0.8705,0.0934
0.0619,0.9077,0.0937
0.0346,0.9692,0.0932
-0.025,0.9692,0.0921
-0.0242,0.9709,0.1337
-0.025,0.9692,0.1713
-0.025,0.9692,0.1713
-0.0235,0.9702,0.1703
-0.025,0.9692,0.1713
0.0055,0.996,0.1701
0.0392,0.9662,0.1978
0.0392,0.9662,0.2227
-0.0245,0.999,0.2542
-0.0951,1.0537,0.2524
-0.096,1.0523,0.2539
-0.0963,1.2623,0.2852
-0.1351,1.4283,0.2854
-0.1286,1.2704,0.0269
-0.0978,1.0205,-0.1076
-0.1249,0.8262,-0.0756
-0.1251,0.761,0.1368
-0.1871,0.7283,0.2532
-0.1877,0.8189,0.0225
-0.1535,0.9839,-0.1261
-0.0729,1.1421,-0.154
-0.0992,1.2026,-0.0924
-0.1622,1.1239,0.0548
-0.1628,0.9531,0.0802
-0.1324,0.9084,0.0811
-0.1317,0.8423,0.0795
-0.1314,0.8439,0.0797
-0.1324,0.8709,0.0811
-0.1564,0.969,0.0792
-0.1577,0.9678,0.0804
-0.1577,0.9678,0.0804
-0.1307,0.9678,0.0489
-0.1036,0.9675,0.0213
-0.1024,0.9438,0.0201
-0.1019,0.9169,0.0206
-0.1021,0.8879,0.0878
-0.1029,0.8234,0.1684
-0.1024,0.7664,0.1119
-0.1024,0.7664,0.1119
-0.127,0.741,0.11
-0.1286,0.74,0.111
-0.1286,0.7757,0.0846
-0.1279,0.8045,0.0853
-0.0435,0.8329,0.1545
-0.0149,0.8336,0.1838
-0.0147,0.8563,0.1818
-0.0145,0.8581,0.182
-0.0464,0.8839,0.271
-0.2274,0.9135,0.3077
-0.2737,0.9133,0.261
-0.2318,0.8844,0.1904
-0.1417,0.9201,0.1885
-0.1615,1.2184,0.1882
-0.2202,1.3268,0.1024
-0.0853,1.2792,-0.0478
0.1601,0.1601,0.1601
-0.0471,1.1751,0.226
-0.0413,1.1468,0.0878
-0.171,1.2387,0.0485
-0.0633,1.1025,0.0487
-0.004,1.0102,0.0494
-0.0303,0.7317,0.113
-0.0874,0.6782,0.1941
-0.1125,0.6787,0.192
-0.1137,0.7456,0.1933
-0.0765,0.8321,0.1288
0.0355,0.8302,0.0473
0.0956,0.7967,0.0462
0.0963,0.7959,0.076
0.0583,0.7974,0.1144
-0.01,0.8541,0.1867
-0.1864,0.9897,0.2165
-0.2229,1.0168,0.1808
-0.1491,1.0188,0.1789
-0.1491,1.0188,0.1789
-0.069,0.9823,0.2395
-0.2033,0.7427,0.4081
-0.1791,0.7859,0.4079
-0.0523,0.887,0.3651
0.1748,1.1472,0.3075
0.175,1.2529,0.3077
-0.4899,1.0938,0.3465
-0.3755,1.1744,-0.3732
-0.3755,1.1744,-0.3732
-0.1725,1.2802,-0.6835
-0.0171,1.4053,-0.5645
-0.086,1.5504,0.5393
-0.1212,1.2492,0.2234
-0.1212,1.2492,0.2234
-0.1535,1.0293,-0.283
-0.2187,0.8717,-0.2838
-0.1593,0.9054,0.4755
-0.1281,0.9059,0.475
-0.1281,0.9059,0.475
-0.1012,0.9059,0.1479
-0.1666,0.879,-0.0844
-0.2036,0.8507,0.0028
-0.1799,0.9215,0.1696
-0.1799,0.9215,0.1696
-0.1796,1.0044,0.1699
-0.1533,1.0342,0.1105
-0.1777,1.007,0.0557
-0.153,1.0068,0.056
-0.153,1.0068,0.056
-0.1528,1.0622,0.1156
-0.1528,1.0908,0.1412
-0.1484,1.0168,0.1701
-0.0883,0.9157,0.2241
-0.0883,0.9157,0.2241
-0.0885,0.8886,0.2263
-0.089,0.8891,0.2258
-0.0904,1.0468,0.2243
-0.1205,1.1656,0.226
