gFx,gFy,gFz
0.015,0.8981,-0.0646
-0.0501,0.8314,-0.0639
-0.0518,0.7976,-0.0367
-0.0518,0.7332,-0.0103
-0.0508,0.7346,0.0145
0.029,0.9235,0.0499
0.0539,0.9626,0.0504
0.0539,0.9626,0.0504
0.0544,0.9885,0.0252
0.029,0.9895,0.0243
0.0639,0.9888,0.025
0.09,0.9616,0.0536
0.09,0.9616,0.0536
0.0649,0.9599,0.0553
0.0668,0.9326,0.0548
0.1191,0.9604,0.0533
0.0868,0.9585,0.144
0.0604,0.9604,0.142
0.0891,0.9587,0.1437
0.1572,1.1421,0.1435
-0.3741,1.3767,-0.2002
-0.4393,1.6398,-0.5952
-0.4393,1.6398,-0.5952
-0.3755,1.5746,-0.595
-0.2817,1.5225,-0.594
0.1271,1.2741,-0.1526
0.2379,1.0887,0.0255
0.24,1.0058,0.0252
0.1609,0.9105,0.0243
-0.0853,0.9892,-0.2129
-0.2429,1.0268,-0.2116
-0.3469,1.0283,-0.1233
-0.2758,0.9196,-0.0648
-0.2758,0.9196,-0.0648
-0.1924,0.8641,-0.0394
-0.0782,0.8399,-0.0402
-0.0531,0.8392,-0.0394
-0.0533,0.8395,-0.069
-0.0533,0.8395,-0.069
-0.024,0.8395,-0.0968
-0.0823,0.9259,-0.0966
-0.0743,0.8341,-0.0211
-0.0743,0.8341,-0.0211
-0.0457,0.7476,-0.0218
-0.045,0.7468,-0.0211
-0.0765,0.8141,-0.0208
-0.0193,0.8411,-0.0223
0.0619,0.838,-0.0192
0.0619,0.838,-0.0192
-0.0024,0.9714,-0.0225
-0.0384,1.0342,0.0133
-0.0371,1.033,0.0401
-0.0091,0.9718,0.0389
-0.0091,0.9718,0.0389
-0.0098,0.9726,0.0382
-0.0377,1.0305,0.1063
-0.0371,1.03,0.1068
-0.0093,1.0315,0.1053
0.0473,0.9699,0.1332
0.0453,0.9424,0.1337
-0.0164,0.8407,0.1305
-0.1307,0.8395,0.1068
-0.012,0.9839,-0.1005
0.1242,1.1824,-0.4875
0.178,1.6816,-0.8112
0.1572,2.1126,-0.81
0.2547,1.8238,-0.5923
0.0656,1.3892,-0.2625
0.0392,1.2169,-0.1379
-0.0846,0.9142,-0.0406
-0.1205,0.8446,-0.0399
-0.0794,0.8453,-0.1005
0.0656,1.0212,-0.2402
0.1308,1.1025,-0.281
0.1318,1.102,-0.2826
0.1657,1.0283,-0.2828
0.1653,0.9384,-0.1914
0.1003,0.849,-0.1224
0.0742,0.7852,-0.1217
-0.0091,0.763,-0.1245
-0.0362,0.7633,-0.1247
-0.0755,0.7635,-0.1249
-0.0738,0.9077,-0.1233
-0.0746,0.9662,-0.124
-0.0159,1.0491,-0.0719
-0.0161,1.0176,-0.0721
0.0106,0.9194,-0.0721
0.037,0.8175,0.0013
0.037,0.8175,0.0013
0.0385,0.7903,0.032
-0.0193,0.7591,0.0303
-0.0205,0.7579,0.0315
0.0094,0.9252,0.0299
0.035,0.9494,0.0336
0.0362,0.9506,0.0323
0.067,0.9492,0.0338
0.0944,1.0029,0.0343
0.0348,1.0016,0.0333
0.0367,0.9662,0.0328
0.0607,0.9667,0.0323
0.0619,0.9655,0.0643
0.0604,0.942,0.1332
0.035,0.975,0.1039
0.035,0.975,0.1039
0.059,1.0107,0.1049
0.0597,1.01,0.1319
0.093,0.978,0.131
0.0932,1.0542,0.0939
-0.2246,1.3811,-0.2332
-0.421,1.549,-0.4112
-0.5276,1.7559,-0.5647
-0.355,1.579,-0.5322
0.0399,1.2499,-0.1526
0.2063,1.1253,-0.0543
0.2319,1.0586,-0.0539
0.2019,0.9347,-0.0521
0.0378,0.9331,-0.1342
-0.1945,1.0882,-0.2055
-0.2868,1.1206,-0.2051
-0.3128,1.0388,-0.2065
-0.2441,0.9545,-0.1755
-0.1524,0.8898,-0.1137
-0.1161,0.8512,-0.1144
-0.0618,0.784,-0.0874
-0.0604,0.8131,-0.0886
-0.0343,0.8709,-0.0331
-0.0347,0.9033,-0.0331
-0.0345,0.9883,-0.058
-0.0338,0.9897,-0.0595
-0.0592,0.9883,-0.058
-0.0909,0.9186,-0.058
-0.0916,0.8614,-0.0338
-0.0611,0.8627,-0.0006
-0.0616,0.8607,0.0269
-0.0354,0.8614,0.0262
-0.0061,0.89,0.0262
-0.0081,0.8903,-0.0171
-0.0435,0.8915,-0.0184
-0.0736,0.9215,-0.0192
-0.0721,0.8863,0.0108
-0.045,0.8868,0.0103
-0.0741,0.8866,0.0105
-0.0443,0.9941,0.0086
-0.0135,0.9926,0.0101
0.0234,0.9899,0.0128
0.056,0.9914,-0.0194
0.0269,1.0219,-0.0192
-0.0408,1.0524,0.0709
-0.0706,1.053,0.0958
-0.0697,1.052,0.1281
-0.0384,0.9853,0.1808
-0.0399,0.9606,0.1806
-0.0396,0.9604,0.1808
-0.0399,0.9606,0.1806
-0.0354,0.8614,0.1801
-0.0354,0.8614,0.1801
-0.0985,0.9897,0.1464
0.0011,1.0982,-0.0038
0.2561,1.2609,-0.3534
0.21,1.6266,-0.7128
0.0216,1.593,-0.4941
0.0216,1.593,-0.4941
-0.2033,1.3342,-0.22
-0.2297,1.2411,-0.1511
-0.174,0.956,-0.1217
0.0421,0.9284,-0.1205
0.0421,0.9284,-0.1205
0.0751,0.9545,-0.1217
0.1103,0.9806,-0.1789
0.1103,0.955,-0.178
0.1093,0.8739,-0.1789
0.1093,0.8739,-0.1789
0.0822,0.8717,-0.1224
0.0819,0.849,-0.0963
0.0819,0.847,-0.0707
0.0556,0.849,-0.0727
0.0556,0.849,-0.0727
0.0221,0.8483,-0.0719
-0.0318,0.8766,-0.0746
-0.1288,0.9271,-0.0184
-0.0939,0.9003,-0.0189
-0.0939,0.9003,-0.0189
-0.0105,0.9005,-0.0187
0.0311,0.9003,-0.0184
0.0565,0.7713,-0.0174
0.0581,0.8262,0.0401
0.0581,0.8262,0.0401
0.0576,0.9091,0.042
0.0267,1.0322,0.0406
-0.042,1.0322,-0.0199
-0.0435,1.0337,-0.0213
-0.0152,1.0322,0.0108
-0.0152,1.0322,0.0108
0.0129,1.0056,0.0455
0.0697,0.9716,0.1176
0.0702,0.9736,0.1156
0.0695,0.9718,0.1174
0.0685,0.9729,0.1163
0.1056,1.009,0.1168
0.0956,1.0586,0.1526
0.069,0.9157,0.1528
0.0685,0.89,0.1523
0.0707,1.0117,0.1271
-0.2157,1.1788,-0.0287
-0.5148,1.5709,-0.3329
-0.6211,1.7615,-0.5498
-0.462,1.5518,-0.6026
-0.3126,1.4728,-0.602
0.1213,1.2199,-0.1482
0.2615,1.0065,0.0819
0.2967,0.887,0.0829
0.0758,0.8863,-0.014
-0.0289,0.9274,-0.0939
-0.1637,0.958,-0.2183
-0.294,0.9827,-0.1841
-0.188,0.9201,-0.0318
-0.188,0.9201,-0.0318
-0.1449,0.8299,0.012
-0.086,0.8299,-0.066
-0.0616,0.8299,-0.066
-0.0631,0.8585,-0.0675
-0.034,0.956,-0.0678
-0.0335,1.0242,-0.0672
-0.0347,1.052,-0.066
-0.0347,1.052,-0.066
-0.0335,0.923,-0.0672
-0.0338,0.8593,-0.0675
-0.035,0.8299,-0.0301
-0.0685,0.8318,0.0878
-0.1048,0.8316,0.086
-0.1386,0.8627,0.024
-0.1386,0.8971,-0.0446
-0.0753,0.8974,-0.0448
-0.0464,0.8979,-0.0174
-0.0186,0.8968,0.0108
-0.0191,0.9222,0.0094
0.0739,0.921,0.012
0.073,0.922,0.011
0.0465,0.9597,0.0115
0.0099,0.987,0.0091
-0.0169,1.0156,0.0091
-0.0743,0.9821,0.0352
-0.1078,0.9839,0.0621
-0.1379,0.9821,0.1368
-0.1014,0.9567,0.1764
-0.0294,0.9294,0.1752
-0.0531,0.9287,0.1466
-0.0545,0.9222,0.186
-0.0274,0.8944,0.2197
-0.0604,0.9142,0.2446
-0.1689,1.0176,0.2674
-0.0669,1.2001,0.1068
0.213,1.3965,-0.6055
0.2554,1.532,-0.7626
0.2076,1.7982,-0.7641
0.2063,1.6083,-0.4883
-0.1425,1.2924,-0.1628
-0.2509,1.1106,-0.0753
-0.2888,0.9773,-0.0741
-0.2896,0.9406,-0.0749
-0.1491,0.914,-0.1394
0.0928,0.9408,-0.2041
0.175,0.9706,-0.2023
0.175,0.945,-0.2023
0.0732,0.8793,-0.1364
0.0118,0.8819,-0.1386
0.0118,0.8819,-0.1386
0.0113,0.88,-0.1366
0.0141,0.8798,-0.1364
0.0419,0.9059,-0.1354
0.0124,0.9357,-0.1382
-0.0201,0.934,-0.1364
