accx,accy,accz
-0.1967,0.9787,0.0438
-0.1945,0.9504,0.0736
-0.1964,0.9787,0.0741
-0.1952,1.0586,0.0729
-0.1964,1.0938,0.0741
-0.1955,1.0957,-0.0264
-0.1615,1.0344,-0.0345
-0.1608,1.0037,0.0108
-0.1615,1.0058,0.0958
-0.1603,1.0046,0.0949
-0.2238,1.0332,0.0949
-0.2779,1.3445,-0.002
-0.2773,1.3789,-0.0353
-0.2077,1.4204,-0.1464
-0.0911,1.1928,-0.2327
-0.0377,0.9736,-0.233
-0.0655,0.8651,-0.2032
-0.066,1.063,-0.2036
-0.0662,1.1649,-0.247
-0.0678,1.2431,-0.3835
-0.0042,1.1055,-0.5468
0.0225,0.887,-0.5139
0.0234,0.8536,-0.3262
0.0206,0.8539,-0.2915
-0.0508,0.923,-0.2573
-0.052,0.9508,-0.2561
-0.0523,0.9228,-0.2974
-0.0208,0.923,-0.2977
0.0069,0.9245,-0.2991
0.0082,0.9233,-0.2649
0.0362,0.9484,-0.2263
-0.0264,0.912,-0.1738
-0.0245,0.8355,-0.1757
0.0028,0.8064,-0.1753
0.0334,0.8028,-0.1716
0.0597,0.904,-0.172
0.035,0.9289,-0.1723
0.0362,0.9301,-0.1049
0.035,0.9289,-0.1035
0.0348,0.9291,-0.1037
0.035,0.9589,-0.1415
0.0367,0.9597,-0.1408
0.0353,0.9323,-0.0008
0.0362,0.9338,-0.0006
0.037,0.9331,0.0001
0.0365,0.9335,0.0245
0.0367,0.904,0.0247
0.0678,0.9362,-0.0067
0.0695,0.9662,-0.005
0.069,0.965,-0.0055
0.0096,0.9682,0.0709
-0.0166,0.9678,0.0695
0.012,0.9682,0.069
0.0141,0.9662,0.0709
0.0385,0.9662,0.0709
0.0665,0.965,0.0721
0.067,0.9645,0.1056
0.0084,0.9669,0.1361
-0.0186,0.9408,0.1359
-0.0205,0.9403,0.1364
0.0572,0.9382,0.0995
0.1275,0.975,0.1005
0.0621,0.9609,0.1577
0.0621,0.9323,0.1577
0.0632,0.9338,0.1826
0.0634,0.9992,0.1828
0.0986,1.0322,0.1838
0.1799,1.0586,0.1589
0.3016,1.0884,0.0438
0.1198,1.1172,-0.0683
-0.1476,1.1529,0.0416
-0.2274,1.1055,0.2579
-0.1286,1.0223,0.2876
0.0378,0.9494,0.2432
0.1,0.9489,0.1771
0.1626,0.9474,0.0993
0.0488,0.9746,0.1794
-0.0765,1.0061,0.2129
-0.1134,1.1378,0.2126
-0.0831,1.2331,0.1024
0.0788,1.3584,-0.0448
0.0551,1.2939,-0.0429
-0.0501,1.1928,-0.1269
-0.1943,1.071,-0.2456
-0.1652,1.1363,-0.3798
-0.0641,1.2264,-0.4303
-0.0655,1.228,-0.4318
-0.0655,1.1642,-0.393
-0.0948,1.0791,-0.3681
-0.1515,1.013,-0.3685
-0.0494,1.0461,-0.3915
0.0751,1.0762,-0.2999
0.0773,1.1319,-0.2977
-0.0112,1.1351,-0.3008
-0.1982,1.2001,-0.3262
-0.3164,1.0754,-0.3269
-0.3799,0.9266,-0.2757
-0.4056,0.8175,-0.2102
-0.3191,0.7002,-0.2092
-0.1293,0.5968,-0.21
-0.0406,0.5729,-0.1592
0.1198,0.5052,-0.0176
0.2283,0.4712,-0.0167
-0.0685,0.577,-0.1435
-0.6394,0.879,-0.0886
-0.9639,1.2096,-0.0616
-0.7787,1.2108,-0.0621
-0.344,1.1158,0.2416
-0.0003,0.9377,0.2395
0.103,0.826,-0.1313
-0.1652,0.8968,-0.1322
-0.3983,0.9711,-0.0089
-0.4239,0.8981,0.0233
-0.335,0.8278,0.0218
-0.335,0.8299,0.0218
-0.3061,0.828,0.0238
-0.2791,0.9157,0.1626
-0.2773,0.948,0.1618
-0.3035,0.9471,0.1626
-0.3306,0.8709,0.0516
-0.3323,0.848,0.0499
-0.3306,0.8419,0.1689
-0.3318,0.9303,0.2116
-0.3313,0.9298,0.2121
-0.3311,0.857,0.1368
-0.3008,0.8593,0.1083
-0.27,1.0029,0.1376
-0.2739,0.948,0.1361
-0.2739,0.948,0.1361
-0.3017,0.8863,0.1376
-0.3017,0.8863,0.1098
-0.2367,0.9746,0.1088
-0.2632,0.9741,0.1342
-0.2977,0.9105,0.134
-0.2977,0.9105,0.134
-0.2194,0.9399,0.134
-0.1505,0.9142,0.1344
-0.24,0.9142,0.1354
-0.24,0.9142,0.1354
-0.2414,0.9743,0.0995
-0.2118,1.0021,0.0997
-0.1791,1.0354,0.1007
-0.2432,1.0359,0.1002
-0.27,1.0359,0.1002
-0.271,1.0368,0.0993
-0.2702,1.0009,0.152
-0.303,0.9748,0.151
-0.2758,1.0354,0.0876
-0.2465,1.1025,0.0071
-0.2165,1.1409,0.0061
-0.2502,1.0337,0.0939
-0.3066,1.0344,0.0937
-0.3089,1.0342,0.0939
-0.3079,1.0855,0.0071
-0.2363,1.1136,-0.0316
-0.1515,1.1434,-0.1753
-0.1515,1.1434,-0.1753
-0.1517,1.1099,-0.2859
-0.181,1.0857,-0.3167
-0.1542,1.0505,-0.346
-0.0501,1.0198,-0.3695
0.0069,1.0212,-0.4523
0.008,1.0202,-0.4895
0.0399,1.0454,-0.4867
-0.0193,1.0486,-0.4899
-0.0909,1.0219,-0.3241
-0.1176,0.9978,-0.3262
-0.0399,0.9636,-0.3536
-0.0399,0.9636,-0.3536
0.0399,0.9618,-0.3519
0.0707,0.9629,-0.2898
0.0407,0.9347,-0.2596
0.015,0.9362,-0.2332
-0.045,0.9059,-0.2337
-0.0467,0.9077,-0.2354
-0.0462,0.9071,-0.2349
-0.0464,0.9345,-0.2351
-0.0084,0.9331,-0.2337
0.0626,0.904,-0.2309
0.0949,0.9037,-0.233
0.0949,0.8758,-0.172
0.0697,0.8742,-0.141
0.0399,0.8746,-0.1415
0.0416,0.8754,-0.1159
0.0414,0.8756,-0.1161
0.0993,0.8739,-0.0448
0.1242,0.8758,-0.0446
0.1259,0.8742,-0.0429
0.1247,0.8754,-0.0441
0.0971,0.9017,-0.0199
0.0975,0.9298,0.0443
0.1262,0.9282,0.046
0.1245,0.9298,0.0443
0.0942,0.9284,0.0457
0.0959,0.9291,0.045
0.0954,0.9296,0.1244
0.0956,0.9572,0.1247
0.0942,0.9562,0.1256
0.0942,0.9562,0.065
0.067,0.9564,0.0667
0.0928,0.9577,0.1417
0.0942,0.9562,0.1711
0.122,0.9885,0.1696
0.1235,0.987,0.196
0.0458,0.989,0.2248
0.0165,0.989,0.2248
0.0439,0.9585,0.2253
0.1008,0.9577,0.226
0.103,0.958,0.2258
0.1052,1.0432,0.0921
0.0407,1.0666,0.065
0.0411,1.0686,0.0631
0.0407,1.0666,0.0914
0.0431,1.0065,0.1969
0.0751,0.9809,0.2329
0.1015,0.979,0.2598
0.101,1.0088,0.2593
0.102,1.0769,0.1515
0.1015,1.1532,0.1286
0.0742,1.343,0.1281
0.0497,1.3826,0.1281
0.0504,1.3371,0.0203
0.0497,1.1949,-0.1673
0.049,1.0498,-0.2258
0.0788,0.9899,-0.2246
0.0529,1.0586,-0.2522
-0.0685,1.1561,-0.3812
-0.1952,1.1915,-0.4555
-0.1967,1.0396,-0.4867
-0.1288,0.9726,-0.4513
-0.0582,0.9729,-0.3732
-0.0585,0.9731,-0.336
-0.0592,0.9714,-0.3343
-0.15,0.9718,-0.3048
-0.2492,0.9734,-0.3062
-0.2123,0.9443,-0.306
-0.0641,0.9443,-0.3043
0.0282,0.8863,-0.3023
0.0292,0.8859,-0.3038
-0.001,0.8583,-0.239
-0.0985,0.8323,-0.2393
-0.1542,0.8614,-0.2156
-0.1542,0.8614,-0.2156
-0.1535,0.8607,-0.1899
-0.1545,0.8593,-0.1592
-0.1535,0.8607,-0.1606
-0.1796,0.86,-0.1277
-0.181,0.8614,-0.1005
-0.1528,0.9222,-0.0991
-0.1549,0.948,-0.0988
-0.1288,0.9492,-0.0995
-0.1283,0.9487,-0.0991
-0.127,0.9142,-0.0651
-0.1542,0.8879,-0.0375
-0.1799,0.8866,-0.0003
-0.1806,0.9384,-0.001
-0.1542,0.9406,-0.0015
-0.1845,0.9113,-0.0001
-0.2109,0.9108,0.0289
-0.2118,0.9457,0.0279
-0.1593,0.9706,0.0291
-0.1596,0.9709,-0.0008
-0.161,0.9724,-0.0026
-0.1857,0.9726,0.0315
-0.1855,1.0009,0.0626
-0.1615,1.0014,0.0621
-0.1293,0.9669,0.0907
-0.1305,0.9675,0.0902
-0.1945,0.9958,0.12
-0.1962,0.9951,0.1198
-0.1962,0.9694,0.1198
-0.1657,0.9084,0.1435
-0.1671,0.9331,0.1708
-0.1671,0.9331,0.1708
-0.2304,1.0119,0.1711
-0.2646,1.0412,0.0988
-0.2654,1.0698,0.0348
-0.0846,1.1278,-0.0619
-0.0589,1.129,-0.0632
-0.0574,1.0952,0.0108
-0.2025,1.1025,0.2151
-0.3997,1.2748,0.1647
-0.3997,1.2748,0.1647
-0.366,1.3679,-0.0023
-0.1857,1.3962,-0.1217
-0.0755,1.173,-0.254
-0.0753,1.0226,-0.2537
-0.0758,0.9968,-0.2542
-0.0494,0.9618,-0.1313
0.0297,0.9865,-0.1303
0.0576,1.0223,-0.2309
-0.0164,1.0254,-0.3077
-0.0484,0.9963,-0.3439
-0.0464,0.9968,-0.3443
-0.0474,0.9406,-0.3429
0.0673,0.887,-0.2386
0.0928,0.8866,-0.1818
0.0614,0.8861,-0.1531
-0.0024,0.8891,-0.076
-0.0028,0.8893,-0.0763
-0.0294,0.914,-0.1342
-0.0035,0.9124,-0.1633
0.0267,0.9384,-0.1624
0.0563,0.9377,-0.162
0.0814,0.9369,-0.1613
0.1154,0.8779,-0.0623
0.114,0.8768,-0.0602
0.1159,0.8773,-0.0607
0.1157,0.8775,-0.0609
0.1145,0.8788,-0.0621
0.1161,0.935,-0.0164
0.0891,0.9601,0.0616
0.1203,0.9606,0.0611
0.121,0.9333,0.0618
0.1208,0.9315,0.0616
0.0583,1.0041,0.0602
0.0578,1.0344,0.0621
0.059,0.9992,0.0609
0.0839,0.9142,0.0907
0.0856,0.8849,0.1163
0.0604,0.9487,0.1156
0.0602,0.9743,0.0863
0.0604,0.9765,0.0841
0.059,0.9755,0.0851
0.0595,0.9179,0.0856
0.0604,0.9179,0.0841
0.0863,0.9508,0.1119
0.0863,0.9787,0.1119
0.0861,1.0046,0.1117
0.0595,0.9662,0.205
0.0854,0.9357,0.2055
0.0868,0.9343,0.2069
0.0847,0.9611,0.1801
0.0861,0.9621,0.1792
0.1863,0.9621,0.0655
0.048,1.0322,0.0028
-0.0406,1.0617,-0.0003
-0.1593,1.1033,0.0431
-0.0391,1.0708,0.2038
0.0781,1.105,0.2062
0.1631,1.1876,0.0548
0.1631,1.3034,0.0203
0.1643,1.3796,0.0215
0.1294,1.5284,0.0208
0.0055,1.5592,0.0191
-0.0198,1.3188,-0.014
-0.0205,1.2089,-0.0462
-0.0552,1.0982,-0.1005
-0.1381,0.9186,-0.2588
-0.1969,0.8974,-0.3265
-0.1263,1.0081,-0.3556
-0.1263,1.0081,-0.3556
-0.1032,1.0081,-0.3556
-0.1024,0.9841,-0.3572
-0.127,0.9564,-0.2952
-0.153,0.9298,-0.199
-0.154,0.9308,-0.1999
-0.1537,0.9306,-0.1997
-0.1261,0.8726,-0.199
-0.1246,0.8443,-0.1999
-0.1254,0.8426,-0.1697
-0.1254,0.8426,-0.1447
-0.1249,0.8724,-0.1466
-0.1254,0.8705,-0.1198
-0.1261,0.8455,-0.1205
-0.1246,0.818,-0.1215
-0.1261,0.8169,-0.0502
-0.1242,0.8175,-0.0506
-0.15,0.879,-0.0497
-0.1505,0.9394,-0.0502
-0.1491,0.9403,-0.0511
-0.1251,0.9077,-0.0492
-0.1535,0.8739,-0.0199
-0.1801,0.8737,0.0562
-0.1799,0.9457,0.0553
-0.1803,0.9795,0.0548
-0.1801,0.9792,0.0279
-0.1517,0.9545,-0.0031
-0.1517,0.9289,0.0284
-0.1517,0.9289,0.0578
-0.1535,0.9567,0.0585
-0.1528,0.956,0.0343
-0.1512,0.9569,0.0333
-0.1515,0.9572,0.0331
-0.1815,0.9291,0.089
-0.3162,0.9294,0.0888
-0.3147,1.0183,0.0613
-0.0142,1.1993,-0.1086
0.0187,1.1209,-0.1063
-0.0096,1.0351,-0.1103
-0.0787,0.9326,0.0336
-0.1633,0.9963,0.068
-0.2465,1.0244,0.0333
-0.2773,1.0843,0.0064
-0.2758,1.1106,-0.0267
-0.2458,1.1363,-0.026
-0.2113,1.137,-0.0257
-0.1818,1.1367,-0.0255
-0.1202,1.2338,-0.025
-0.0895,1.398,-0.026
-0.0887,1.5042,-0.1342
-0.0874,1.4074,-0.3064
-0.0552,0.9669,-0.3075
-0.0562,0.8556,-0.1951
0.0136,0.8238,-0.093
0.0483,0.9303,-0.0924
0.0483,1.0058,-0.2771
0.0749,1.0007,-0.4516
0.0746,0.9233,-0.4518
0.0756,0.8966,-0.357
0.0075,0.8984,-0.2327
-0.0186,0.9225,-0.2319
0.0087,0.922,-0.2314
0.0104,0.8956,-0.2321
0.008,0.8649,-0.1999
0.008,0.8649,-0.1999
0.0099,0.8653,-0.1704
0.0372,0.8888,-0.1674
0.0915,0.9161,-0.1669
0.1662,0.9436,-0.168
0.1914,0.9179,-0.1431
0.1389,0.8907,-0.0712
0.1142,0.8907,-0.0712
0.1161,0.9222,-0.0692
0.1448,0.9555,-0.1249
0.1711,0.9853,-0.1254
0.1734,0.9592,-0.0623
0.1452,0.901,0.0005
0.1462,0.9008,0.0008
0.1469,0.9,0.0015
0.1469,0.9,0.0015
0.1455,0.8991,0.0024
0.1464,0.9005,0.001
0.1711,0.9003,0.0013
0.1725,0.9245,0.0695
0.1729,0.9582,0.0695
0.077,0.9562,0.0714
0.048,0.956,0.0716
0.049,0.9574,0.0702
0.0795,0.9562,0.0714
0.1032,0.9878,0.0706
0.1303,0.956,0.1002
0.1294,0.9555,0.1322
0.1308,0.9541,0.1696
0.0973,0.9303,0.1679
0.0959,0.9291,0.1689
0.0963,0.9645,0.1694
0.1238,0.9963,0.1699
0.1245,0.998,0.1682
0.1577,0.8851,0.2502
0.1577,0.8851,0.2502
0.0963,0.9545,0.25
0.0714,0.9846,0.2495
0.0458,1.0168,0.2483
0.1567,1.0107,0.2178
0.1296,0.9113,0.2175
0.1296,0.9113,0.2175
0.073,0.911,0.2463
0.0744,0.9096,0.2478
0.1843,0.9736,0.2199
0.3888,1.0019,0.0892
0.3888,1.0019,0.0892
0.2019,1.0366,-0.0331
0.056,1.0713,-0.0348
-0.3071,0.9653,0.25
-0.1102,0.9326,0.249
0.0165,0.9303,0.2512
0.21,1.0468,0.1505
0.2444,1.1311,0.1142
0.0267,1.2932,0.1139
-0.058,1.3713,0.1122
0.0318,1.406,0.0724
0.1037,1.405,-0.014
0.1552,1.2888,-0.1035
-0.0161,1.0105,-0.1044
-0.0161,1.0105,-0.1044
-0.0572,0.977,-0.1767
0.037,1.0843,-0.3944
0.0781,1.1138,-0.4406
-0.1314,1.0512,-0.5579
-0.2283,0.9773,-0.5568
-0.2304,0.9774,-0.5566
-0.2036,0.9774,-0.531
-0.0992,1.0076,-0.4379
-0.0992,0.9797,-0.3651
-0.1007,0.9471,-0.2933
-0.0743,0.9191,-0.2938
-0.0748,0.894,-0.2943
-0.0753,0.8651,-0.2947
-0.1002,0.8656,-0.2689
-0.1263,0.8649,-0.1936
-0.1281,0.8641,-0.1941
-0.1283,0.8644,-0.1943
-0.1263,0.8649,-0.1948
-0.0667,0.8639,-0.1939
-0.0678,0.8649,-0.1699
-0.0672,0.8644,-0.1035
-0.0939,0.8641,-0.0783
-0.0941,0.89,-0.0785
-0.1232,0.8898,-0.0783
