accx,accy,accz
0.0055,0.8238,-0.1259
0.0055,0.9213,-0.1555
0.0036,0.948,-0.1562
0.0057,1.0058,-0.1564
0.0387,1.0056,-0.1552
0.0702,0.9508,-0.1555
0.0707,0.9504,-0.155
0.0705,0.9506,-0.1266
0.07,0.978,-0.0558
0.0697,1.0512,-0.0539
0.0402,1.1605,-0.0541
0.0402,1.2431,-0.0858
0.177,1.398,-0.1474
0.2078,1.453,-0.1723
0.2083,1.5387,-0.2361
0.0626,1.5629,-0.2684
-0.1016,1.1429,-0.6292
-0.1014,1.0212,-0.629
-0.0685,0.7947,-0.5615
-0.034,0.7002,-0.475
-0.0024,0.6398,-0.3255
-0.0391,0.7757,-0.2901
-0.1682,1.0447,-0.4273
-0.1373,1.0952,-0.5857
-0.1073,1.0969,-0.5874
-0.1083,1.0281,-0.5859
-0.1444,0.9494,-0.5491
-0.1938,0.86,-0.4487
-0.1952,0.8616,-0.4076
-0.1938,0.8602,-0.3786
-0.1945,0.8609,-0.3131
-0.1366,0.8616,-0.2771
-0.048,0.8057,-0.2481
-0.0492,0.808,-0.2493
-0.0235,0.7759,-0.2144
-0.0252,0.7503,-0.2136
-0.0233,0.7507,-0.1892
-0.0494,0.75,-0.1606
-0.0516,0.775,-0.135
-0.0773,0.7759,-0.1338
-0.1065,0.7759,-0.1338
-0.1388,0.7764,-0.1342
-0.1386,0.8387,-0.1035
-0.1659,0.8726,-0.1051
-0.1652,0.8719,-0.1044
-0.089,0.9259,-0.1369
-0.0902,0.9569,-0.1382
-0.0895,0.9839,-0.1373
-0.1161,1.0168,-0.1122
-0.1168,1.0608,-0.113
-0.1174,1.1229,-0.0856
-0.1784,1.2166,-0.0534
-0.2546,1.3452,-0.0514
-0.2876,1.4434,-0.0527
-0.1945,1.5739,-0.4669
-0.1945,1.5739,-0.4669
-0.1622,1.3224,-0.5063
-0.078,1.0593,-0.5076
-0.0159,0.8556,-0.4443
0.0167,0.7014,-0.4103
-0.0117,0.8497,-0.4464
-0.0117,0.8497,-0.4464
-0.0375,0.9364,-0.4716
-0.0643,0.9992,-0.4716
0.0516,0.966,-0.381
0.0847,0.9303,-0.3483
0.0847,0.9303,-0.3483
0.0532,0.8709,-0.3241
0.0269,0.8343,-0.294
0.029,0.7442,-0.2945
0.056,0.7437,-0.2943
0.056,0.7437,-0.2943
0.0551,0.7422,-0.2928
0.056,0.7437,-0.2684
-0.0369,0.7713,-0.209
-0.0626,0.7994,-0.1778
-0.0626,0.7994,-0.1778
-0.0636,0.8004,-0.1787
-0.0387,0.7999,-0.1526
0.049,0.8278,-0.1503
0.049,0.8278,-0.1503
